sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
183680219 E123 23 1 64 0 right 16 3000 2 
183683219 E123 23 1 64 0 right 16 3000 2 
183683225 E123 23 1 65 0 left 48 -1 -1 
183684238 E123 23 1 65 0 left 48 -1 -1 
183684974 E123 23 1 65 0 left 48 668 1 
183688592 E123 23 1 65 0 left 48 668 1 
183691592 E123 23 1 65 0 left 48 668 1 
183691598 E123 23 1 66 0 right 64 -1 -1 
183692611 E123 23 1 66 0 right 64 -1 -1 
183693325 E123 23 1 66 0 right 64 629 1 
183698866 E123 23 1 66 0 right 64 629 1 
183701866 E123 23 1 66 0 right 64 629 1 
183701872 E123 23 1 67 0 left 64 -1 -1 
183702885 E123 23 1 67 0 left 64 -1 -1 
183703757 E123 23 1 67 0 left 64 787 1 
183708373 E123 23 1 67 0 left 64 787 1 
183711373 E123 23 1 67 0 left 64 787 1 
183711379 E123 23 1 68 0 right 64 -1 -1 
183712392 E123 23 1 68 0 right 64 -1 -1 
183713125 E123 23 1 68 0 right 64 648 1 
183716846 E123 23 1 68 0 right 64 648 1 
183719846 E123 23 1 68 0 right 64 648 1 
183719852 E123 23 1 69 0 right 32 -1 -1 
183720865 E123 23 1 69 0 right 32 -1 -1 
183721997 E123 23 1 69 0 right 32 1080 1 
183725920 E123 23 1 69 0 right 32 1080 1 
183728920 E123 23 1 69 0 right 32 1080 1 
183728926 E123 23 1 70 0 right 32 -1 -1 
183729938 E123 23 1 70 0 right 32 -1 -1 
183731566 E123 23 1 70 0 right 32 1576 1 
183735543 E123 23 1 70 0 right 32 1576 1 
183738543 E123 23 1 70 0 right 32 1576 1 
183738549 E123 23 1 71 0 right 48 -1 -1 
183739562 E123 23 1 71 0 right 48 -1 -1 
183740557 E123 23 1 71 0 right 48 927 1 
183745184 E123 23 1 71 0 right 48 927 1 
183748184 E123 23 1 71 0 right 48 927 1 
183748190 E123 23 1 72 0 left 32 -1 -1 
183749203 E123 23 1 72 0 left 32 -1 -1 
183750445 E123 23 1 72 0 left 32 1191 0 
183756125 E123 23 1 72 0 left 32 1191 0 
183759125 E123 23 1 72 0 left 32 1191 0 
183759131 E123 23 1 73 0 right 64 -1 -1 
183760144 E123 23 1 73 0 right 64 -1 -1 
183761004 E123 23 1 73 0 right 64 775 1 
183764648 E123 23 1 73 0 right 64 775 1 
183767648 E123 23 1 73 0 right 64 775 1 
183767654 E123 23 1 74 0 right 32 -1 -1 
183768667 E123 23 1 74 0 right 32 -1 -1 
183770612 E123 23 1 74 0 right 32 1893 1 
183774573 E123 23 1 74 0 right 32 1893 1 
183777573 E123 23 1 74 0 right 32 1893 1 
183777579 E123 23 1 75 0 right 16 -1 -1 
183778591 E123 23 1 75 0 right 16 -1 -1 
183781626 E123 23 1 75 0 right 16 3000 2 
183785547 E123 23 1 75 0 right 16 3000 2 
183788547 E123 23 1 75 0 right 16 3000 2 
183788553 E123 23 1 76 0 left 64 -1 -1 
183789566 E123 23 1 76 0 left 64 -1 -1 
183791277 E123 23 1 76 0 left 64 1626 1 
183795121 E123 23 1 76 0 left 64 1626 1 
183798121 E123 23 1 76 0 left 64 1626 1 
183798127 E123 23 1 77 0 right 48 -1 -1 
183799140 E123 23 1 77 0 right 48 -1 -1 
183799756 E123 23 1 77 0 right 48 548 1 
183804395 E123 23 1 77 0 right 48 548 1 
183807395 E123 23 1 77 0 right 48 548 1 
183807401 E123 23 1 78 0 right 32 -1 -1 
183808413 E123 23 1 78 0 right 32 -1 -1 
183809788 E123 23 1 78 0 right 32 1323 1 
183813852 E123 23 1 78 0 right 32 1323 1 
183816852 E123 23 1 78 0 right 32 1323 1 
183816858 E123 23 1 79 0 left 16 -1 -1 
