sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
246170877 E124 21 1 34 0 left 64 -1 -1 
246171538 E124 21 1 34 0 left 64 576 1 
246175431 E124 21 1 34 0 left 64 576 1 
246178431 E124 21 1 34 0 left 64 576 1 
246178438 E124 21 1 35 0 right 16 -1 -1 
246179450 E124 21 1 35 0 right 16 -1 -1 
246180747 E124 21 1 35 0 right 16 1262 0 
246185305 E124 21 1 35 0 right 16 1262 0 
246188305 E124 21 1 35 0 right 16 1262 0 
246188313 E124 21 1 36 0 left 32 -1 -1 
246189324 E124 21 1 36 0 left 32 -1 -1 
246189987 E124 21 1 36 0 left 32 612 1 
246194178 E124 21 1 36 0 left 32 612 1 
246197178 E124 21 1 36 0 left 32 612 1 
246197186 E124 21 1 37 0 right 16 -1 -1 
246198197 E124 21 1 37 0 right 16 -1 -1 
246198906 E124 21 1 37 0 right 16 674 0 
246203969 E124 21 1 37 0 right 16 674 0 
246206969 E124 21 1 37 0 right 16 674 0 
246206975 E124 21 1 38 0 left 64 -1 -1 
246207988 E124 21 1 38 0 left 64 -1 -1 
246208641 E124 21 1 38 0 left 64 568 1 
246212342 E124 21 1 38 0 left 64 568 1 
246215342 E124 21 1 38 0 left 64 568 1 
246215349 E124 21 1 39 0 right 64 -1 -1 
246216360 E124 21 1 39 0 right 64 -1 -1 
246216905 E124 21 1 39 0 right 64 460 0 
246221265 E124 21 1 39 0 right 64 460 0 
246224265 E124 21 1 39 0 right 64 460 0 
246224272 E124 21 1 40 0 right 64 -1 -1 
246225284 E124 21 1 40 0 right 64 -1 -1 
246225977 E124 21 1 40 0 right 64 608 1 
246229838 E124 21 1 40 0 right 64 608 1 
246232838 E124 21 1 40 0 right 64 608 1 
246232845 E124 21 1 41 0 left 16 -1 -1 
246233857 E124 21 1 41 0 left 16 -1 -1 
246235689 E124 21 1 41 0 left 16 1797 0 
246239345 E124 21 1 41 0 left 16 1797 0 
246242345 E124 21 1 41 0 left 16 1797 0 
246242352 E124 21 1 42 0 right 16 -1 -1 
246243364 E124 21 1 42 0 right 16 -1 -1 
246244113 E124 21 1 42 0 right 16 714 1 
246247735 E124 21 1 42 0 right 16 714 1 
246250735 E124 21 1 42 0 right 16 714 1 
246250741 E124 21 1 43 0 left 64 -1 -1 
246251753 E124 21 1 43 0 left 64 -1 -1 
246252465 E124 21 1 43 0 left 64 627 1 
246257125 E124 21 1 43 0 left 64 627 1 
246260125 E124 21 1 43 0 left 64 627 1 
246260132 E124 21 1 44 0 right 48 -1 -1 
246261144 E124 21 1 44 0 right 48 -1 -1 
246261833 E124 21 1 44 0 right 48 621 1 
246266115 E124 21 1 44 0 right 48 621 1 
246269115 E124 21 1 44 0 right 48 621 1 
246269122 E124 21 1 45 0 right 32 -1 -1 
246270134 E124 21 1 45 0 right 32 -1 -1 
246270680 E124 21 1 45 0 right 32 495 1 
246274555 E124 21 1 45 0 right 32 495 1 
246277555 E124 21 1 45 0 right 32 495 1 
246277561 E124 21 1 46 0 left 48 -1 -1 
246278573 E124 21 1 46 0 left 48 -1 -1 
246279200 E124 21 1 46 0 left 48 558 1 
246283928 E124 21 1 46 0 left 48 558 1 
246286928 E124 21 1 46 0 left 48 558 1 
246286935 E124 21 1 47 0 right 32 -1 -1 
246287947 E124 21 1 47 0 right 32 -1 -1 
246288553 E124 21 1 47 0 right 32 555 1 
246292334 E124 21 1 47 0 right 32 555 1 
246295334 E124 21 1 47 0 right 32 555 1 
246295340 E124 21 1 48 0 left 48 -1 -1 
246296353 E124 21 1 48 0 left 48 -1 -1 
246296896 E124 21 1 48 0 left 48 475 1 
246300824 E124 21 1 48 0 left 48 475 1 
246303824 E124 21 1 48 0 left 48 475 1 
246303831 E124 21 1 49 0 right 32 -1 -1 
246304843 E124 21 1 49 0 right 32 -1 -1 
246305488 E124 21 1 49 0 right 32 594 1 
